CAMEOEVENTCODE,GOLDSTEINSCALE
1,0
2,3
3,4
4,1
5,3.5
6,6
7,7
8,5
9,-2
10,0
10,-5
11,-0.1
11,-2
12,-0.4
12,-4
13,0.4
13,-6
14,0
14,-6.5
15,0
15,-7.2
16,-2
16,-4
17,0
17,-7
18,3.4
18,-9
19,3.4
19,-10
20,3
20,-10
21,3.4
22,3.2
23,3.4
24,-0.3
25,-0.3
26,4
27,4
28,4
30,4
31,5.2
32,4.5
33,5.2
34,7
35,7
36,4
37,5
38,7
39,5
40,1
41,1
42,1.9
43,2.8
44,2.5
45,5
46,7
50,3.5
51,3.4
52,3.5
53,3.8
54,6
55,7
56,7
57,8
60,6
61,6.4
62,7.4
63,7.4
64,7
70,7
71,7.4
72,8.3
73,7.4
74,8.5
75,7
80,5
81,5
82,5
83,5
84,7
85,7
86,9
87,9
90,-2
91,-2
92,-2
93,-2
94,-2
100,-5
101,-5
102,-5
103,-5
104,-5
105,-5
107,-5
108,-5
110,-2
111,-2
112,-2
113,-2
114,-2
115,-2
116,-2
120,-4
121,-4
122,-4
123,-4
124,-4
125,-5
126,-5
127,-5
128,-5
129,-5
130,-4.4
131,-5.8
132,-5.8
133,-5.8
134,-5.8
135,-5.8
136,-7
137,-7
138,-7
139,-7
140,-6.5
141,-6.5
142,-6.5
143,-6.5
144,-7.5
145,-7.5
150,-7.2
151,-7.2
152,-7.2
153,-7.2
154,-7.2
160,-4
161,-4
162,-5.6
163,-8
164,-7
165,-6.5
166,-7
170,-7
171,-9.2
172,-5
173,-5
174,-5
175,-9
180,-9
181,-9
182,-9.5
183,-10
184,-8
185,-8
186,-10
190,-10
191,-9.5
192,-9.5
193,-10
194,-10
195,-10
196,-9.5
200,-10
201,-9.5
202,-10
203,-10
204,-10
211,3.4
212,3.4
213,3.4
214,3.4
231,3.4
232,3.4
233,3.4
234,3.4
241,-0.3
242,-0.3
243,-0.3
244,-0.3
251,-0.3
252,-0.3
253,-0.3
254,-0.3
255,-0.3
256,-0.3
311,5.2
312,5.2
313,5.2
314,5.2
331,5.2
332,5.2
333,5.2
334,6
341,7
342,7
343,7
344,7
351,7
352,7
353,7
354,7
355,7
356,7
811,5
812,5
813,5
814,5
831,5
832,5
833,5
834,5
841,7
842,7
861,9
862,9
863,9
871,9
872,9
873,9
874,10
1011,-5
1012,-5
1013,-5
1014,-5
1031,-5
1032,-5
1033,-5
1034,-5
1041,-5
1042,-5
1043,-5
1044,-5
1051,-5
1052,-5
1053,-5
1054,-5
1055,-5
1056,-5
1121,-2
1122,-2
1123,-2
1124,-2
1125,-2
1211,-4
1212,-4
1221,-4
1222,-4
1223,-4
1224,-4
1231,-4
1232,-4
1233,-4
1234,-4
1241,-4
1242,-4
1243,-4
1244,-4
1245,-4
1246,-4
1311,-5.8
1312,-5.8
1313,-5.8
1321,-5.8
1322,-5.8
1323,-5.8
1324,-5.8
1381,-7
1382,-7
1383,-7
1384,-7
1385,-7
1411,-6.5
1412,-6.5
1413,-6.5
1414,-6.5
1421,-6.5
1422,-6.5
1423,-6.5
1424,-6.5
1431,-6.5
1432,-6.5
1433,-6.5
1434,-6.5
1441,-7.5
1442,-7.5
1443,-7.5
1444,-7.5
1451,-7.5
1452,-7.5
1453,-7.5
1454,-7.5
1621,-5.6
1622,-5.6
1623,-5.6
1661,-7
1662,-7
1663,-7
1711,-9.2
1712,-9.2
1721,-5
1722,-5
1723,-5
1724,-5
1821,-9
1822,-9
1823,-10
1831,-10
1832,-10
1833,-10
2041,-10
2042,-10
